AccountID,ContactID,LeadID,OpportunityID,ActivityID,FirstName,LastName,Email,Phone,Status
9710,84444,530975,5105172,76567931,Kathryn,Johnson,marywong@example.net,371-773-4671x1255,Inactive
3801,11367,737474,1602009,60869445,Sarah,Lin,ortizjohn@example.org,(668)925-7106,Inactive
6408,50540,665733,3180287,62628748,Jessica,Cruz,brandy94@example.org,(350)364-2337,Active
5248,14428,792551,3155472,58831610,Amy,Johnson,melissa27@example.com,935-512-0525,Active
3804,77002,818066,5129661,41621603,Christina,Cox,brooke48@example.com,3679529308,Inactive
5335,41976,578321,5628114,42093268,Kevin,Mcguire,hickstyler@example.com,+1-928-923-0647x1568,Active
3479,47375,546949,6140713,22874274,Abigail,Johnson,baileysmall@example.com,+1-823-629-3061x00872,Inactive
3842,57620,448078,9433556,80479875,Robert,Burke,ukemp@example.com,+1-872-882-4769x000,Inactive
1720,88089,430306,1484638,99636232,Meagan,Duncan,scottlopez@example.net,9119804590,Active
5300,19988,706210,8164112,98327538,Derek,Thompson,jamesholt@example.org,439-804-3044x03375,Inactive
1128,66613,594875,4438394,27999019,Kathleen,Kramer,dochoa@example.org,001-960-543-8143x63556,Active
1450,14024,131264,4153730,12628356,Donald,Richmond,stephensamy@example.org,4514000243,Inactive
6073,63461,694516,7623976,47614962,David,Miller,joshuamedina@example.org,001-960-639-6085x441,Inactive
8539,75758,144730,2283219,91550250,William,Sawyer,clarkaaron@example.net,660.394.0882,Active
4583,90457,602947,1197928,59687023,Michael,Henry,marie47@example.net,+1-750-462-3466x042,Active
3795,65644,871340,7673213,27740574,Patricia,Silva,jesse59@example.com,(399)894-5463,Active
8425,27906,458035,3920661,59984521,Michael,Buck,gordonrobert@example.com,(452)727-5044x578,Active
6211,22998,558721,9650456,56231206,Katrina,Erickson,ruizbrandon@example.net,+1-628-593-5966x376,Inactive
5261,39886,251769,1572358,10989098,Tammy,Johnson,allison55@example.com,582.277.4124x2442,Inactive
8296,72283,880418,6517563,51774812,Shelley,Bell,bradyamanda@example.org,685.384.2136x17056,Active
9500,27413,889271,2666216,77235933,David,Robertson,anthony58@example.org,(971)363-9476x6995,Inactive
1310,38751,199284,9959185,99067341,Kyle,Thornton,zcunningham@example.org,861-292-7844x4605,Inactive
7010,70984,969272,4621688,68536820,Kelly,Collins,wuvanessa@example.net,001-489-642-6046x5620,Active
3209,51596,477448,3635228,12201636,Lisa,Garcia,murphyalicia@example.net,+1-755-851-0394x94976,Inactive
2476,21284,372912,2860747,75549978,Elizabeth,Grimes,kevinrose@example.com,739.755.3013x8918,Active
3803,16860,379969,2533541,10257591,Kathleen,Rubio,robert08@example.org,(207)638-1775x7811,Inactive
6106,18813,105805,1404604,15671088,Benjamin,Lopez,xmiller@example.net,+1-754-248-6136x6192,Active
8059,34806,472848,8766247,59548059,Patricia,Ramsey,joshua23@example.org,714.593.3764,Inactive
4948,95810,731864,5485804,31994573,Jonathan,Ramirez,rodney16@example.net,(786)903-3003x39843,Inactive
4477,52783,360494,6088113,36104584,Shawn,David,kmcbride@example.net,394-480-8908x3632,Active
5900,76428,106299,6793379,24324300,Russell,Singleton,freemanelizabeth@example.com,623-431-0762x38433,Inactive
7559,56866,542783,2961515,16629166,Cory,Long,janeevans@example.net,835-639-9090x902,Inactive
1616,88630,773447,8042810,80953460,Laura,Jones,ejones@example.com,4053273859,Inactive
3440,32250,107394,4286066,76389517,Susan,Baker,alicia40@example.org,001-440-724-0354x611,Inactive
4265,90516,920094,5071281,40134244,April,Yates,hector58@example.net,446-670-1940,Inactive
8534,52053,574538,4188070,90420173,Sandra,Moreno,hannahdean@example.net,302-461-8489x5751,Inactive
2828,64483,759288,9662182,13317352,William,Watkins,gclarke@example.org,001-516-257-9741x2669,Active
1943,88505,686790,2766433,54212525,Misty,Quinn,unguyen@example.org,(788)596-7975x897,Inactive
5831,66536,354923,9444627,76078204,Matthew,Smith,georgerobles@example.net,+1-746-807-6520x504,Active
7260,41962,646912,4684140,54568056,Mark,Gonzalez,nwarner@example.com,001-871-543-0883,Inactive
8239,57526,497053,9064088,32620111,Carol,Anderson,courtney65@example.com,276-459-8344x47201,Inactive
7771,61648,428896,3288056,14336062,Scott,Shelton,christyburch@example.com,+1-411-325-0907x57033,Active
8163,24045,739116,4323312,26951782,Kimberly,Barnett,awhite@example.com,228-895-9585x75108,Active
3564,93864,108042,9307487,15641551,Ryan,Warner,sgood@example.com,(752)800-1339,Active
3547,44916,898133,7993843,75875805,Rebekah,Preston,brianstevens@example.net,+1-350-256-9640x59625,Inactive
8408,86837,518859,5533746,30512466,Christopher,Terrell,alexander00@example.com,515.739.8887,Active
5037,78836,691699,8982782,64903946,Emma,Russell,elucas@example.org,4482062187,Active
8178,74856,245082,6436227,63472459,Veronica,Castillo,xreynolds@example.org,385-858-3264,Active
3570,10409,340948,7537939,10054270,Charles,Duke,zgarcia@example.org,3585464807,Active
9939,74502,694924,4756371,11694675,Ronald,Winters,matthew87@example.org,(501)316-1260x32603,Active
6058,51769,707167,3945663,50074111,Natasha,Tran,jorge26@example.com,899-513-3245x973,Inactive
4993,81055,196091,1637330,11709748,Adam,Macdonald,krogers@example.com,7172818384,Active
9981,78319,180509,4099311,78365254,Aaron,Reed,ryan54@example.net,253.325.7750x06877,Active
8203,58092,958045,9112364,24140788,Deborah,Hahn,xavier35@example.net,2272895733,Active
7542,45334,235054,9624535,36497517,Larry,Mckay,barreracarl@example.net,246-847-5918x506,Active
6612,59096,333847,4820863,91198875,Allen,Reeves,elizabethwagner@example.org,001-459-223-2827x364,Active
1652,17682,848477,8643468,88101039,Melanie,Stewart,janetwolfe@example.org,+1-207-217-5044x604,Active
1901,53773,281897,5972751,62484264,Sydney,Schaefer,daniel97@example.org,7642817120,Active
